Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.004;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.008;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.012;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.016;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.02;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.024;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.028;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.032;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;3.0;-3.0;-0.0;-0.000129;0.0;0.0;0.0;0.0
0.05200000000000002;0.0;3.0;-3.0;1.176635379674337e-39;-0.000129;0.0;2.941588449185842e-37;0.0;2.941588449185842e-37
0.05600000000000002;0.0;3.0;-3.0;9.372692528451186e-39;-0.000129;0.0;2.0490142871942124e-36;0.0;2.0490142871942124e-36
0.060000000000000026;0.0;3.0;-3.0;3.653683151814132e-38;-0.000129;0.0;6.791034747422534e-36;0.0;6.791034747422534e-36
0.06400000000000003;0.0;3.0;-3.0;9.221439510303322e-38;-0.000129;0.0;1.3919390896222975e-35;0.0;1.3919390896222975e-35
0.06800000000000003;0.0;3.0;-3.0;1.6716728357863327e-37;-0.000129;0.0;1.8738222118900011e-35;0.0;1.8738222118900011e-35
0.07200000000000004;0.0;3.0;-3.0;2.2776009810853567e-37;-0.000129;0.0;1.5148203632475602e-35;0.0;1.5148203632475602e-35
0.07600000000000004;0.0;3.0;-3.0;2.3518039040017397e-37;-0.000129;0.0;1.8550730729095738e-36;0.0;1.8550730729095738e-36
0.08000000000000004;0.0;3.0;-3.0;1.7457007620464717e-37;-0.000129;0.0;-1.51525785488817e-35;0.0;-1.51525785488817e-35
0.08400000000000005;0.0;3.0;-3.0;6.536997617636297e-38;-0.000129;0.0;-2.730002500707105e-35;0.0;-2.730002500707105e-35
0.08800000000000005;0.0;3.0;-3.0;-5.432606622810632e-38;-0.000129;0.0;-2.992401060111732e-35;0.0;-2.992401060111732e-35
0.09200000000000005;0.0;3.0;-3.0;-1.4994026556913903e-37;-0.000129;0.0;-2.390354983525818e-35;0.0;-2.390354983525818e-35
0.09600000000000006;0.0;3.0;-3.0;-2.016702373012594e-37;-0.000129;0.0;-1.2932492933030088e-35;0.0;-1.2932492933030088e-35
0.10000000000000006;0.0;3.0;-3.0;-2.059256042205838e-37;-0.000129;0.0;-1.063841729831101e-36;0.0;-1.063841729831101e-36
0.10400000000000006;0.0;3.0;-3.0;-1.7302029646514018e-37;-0.000129;0.0;8.226326938860904e-36;0.0;8.226326938860904e-36
0.10800000000000007;0.0;3.0;-3.0;-1.2170514063071208e-37;-0.000129;0.0;1.2828788958607026e-35;0.0;1.2828788958607026e-35
0.11200000000000007;0.0;3.0;-3.0;-7.076239586595709e-38;-0.000129;0.0;1.2735686191188748e-35;0.0;1.2735686191188748e-35
0.11600000000000008;0.0;3.0;-3.0;-3.203434962672203e-38;-0.000129;0.0;9.682011559808766e-36;0.0;9.682011559808766e-36
0.12000000000000008;0.0;3.0;-3.0;-8.785074905618326e-39;-0.000129;0.0;5.8123186802759254e-36;0.0;5.8123186802759254e-36
0.12400000000000008;0.0;3.0;-3.0;1.6443605107923257e-39;-0.000129;0.0;2.607358854102663e-36;0.0;2.607358854102663e-36
0.12800000000000009;0.0;3.0;-3.0;4.125043306562117e-39;-0.000129;0.0;6.201706989424478e-37;0.0;6.201706989424478e-37
0.1320000000000001;0.0;3.0;-3.0;3.062306946945781e-39;-0.000129;0.0;-2.6568408990408406e-37;0.0;-2.6568408990408406e-37
0.1360000000000001;0.0;3.0;-3.0;1.2717002674101552e-39;-0.000129;0.0;-4.476516698839064e-37;0.0;-4.476516698839064e-37
0.1400000000000001;0.0;3.0;-3.0;4.3336493309470685e-42;-0.000129;0.0;-3.1684165451980203e-37;0.0;-3.1684165451980203e-37
0.1440000000000001;0.0;3.0;-3.0;-5.15685212039511e-40;-0.000129;0.0;-1.3000471534261453e-37;0.0;-1.3000471534261453e-37
0.1480000000000001;0.0;3.0;-3.0;-5.204293344853863e-40;-0.000129;0.0;-1.1860306114688174e-39;0.0;-1.1860306114688174e-39
0.1520000000000001;0.0;3.0;-3.0;-3.1485375876679286e-40;-0.000129;0.0;5.139389392964835e-38;0.0;5.139389392964835e-38
0.1560000000000001;0.0;3.0;-3.0;-1.0621879130104317e-40;-0.000129;0.0;5.215874186643743e-38;0.0;5.215874186643743e-38
0.16000000000000011;0.0;3.0;-3.0;2.0965501940012935e-41;-0.000129;0.0;3.1796073310264025e-38;0.0;3.1796073310264025e-38
0.16400000000000012;0.0;3.0;-3.0;6.500549158309297e-41;-0.000129;0.0;1.1009997410770008e-38;0.0;1.1009997410770008e-38
0.16800000000000012;0.0;3.0;-3.0;5.803236615944179e-41;-0.000129;0.0;-1.7432813559127957e-39;0.0;-1.7432813559127957e-39
0.17200000000000013;0.0;3.0;-3.0;3.304757339075546e-41;-0.000129;0.0;-6.246198192171582e-39;0.0;-6.246198192171582e-39
0.17600000000000013;0.0;3.0;-3.0;1.041667925413041e-41;-0.000129;0.0;-5.657723534156263e-39;0.0;-5.657723534156263e-39
